[2025-05-12 21:46:00] PID 14 | 145.35 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:46:00] PID 15 | 143.39 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:46:00] PID 16 | 141.30 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:47:00] 📊 Всего Python-памяти: 1191.22 MB
[2025-05-12 21:47:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:47:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:47:00] PID 9 | 160.31 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:47:00] PID 10 | 143.17 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:47:00] PID 11 | 154.48 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:47:00] PID 12 | 135.72 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:47:00] PID 13 | 141.63 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:47:00] PID 14 | 146.11 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:47:00] PID 15 | 143.39 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:47:00] PID 16 | 142.48 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:48:00] 📊 Всего Python-памяти: 1194.07 MB
[2025-05-12 21:48:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:48:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:48:00] PID 9 | 160.40 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:48:00] PID 10 | 145.41 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:48:00] PID 11 | 154.38 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:48:00] PID 12 | 135.72 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:48:00] PID 13 | 141.63 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:48:00] PID 14 | 146.11 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:48:00] PID 15 | 143.70 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:48:00] PID 16 | 142.79 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:49:00] 📊 Всего Python-памяти: 1200.96 MB
[2025-05-12 21:49:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:49:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:49:00] PID 9 | 162.35 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:49:00] PID 10 | 145.73 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:49:00] PID 11 | 155.70 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:49:00] PID 12 | 135.97 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:49:00] PID 13 | 142.43 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:49:00] PID 14 | 148.11 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:49:00] PID 15 | 143.70 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:49:00] PID 16 | 143.04 MB | /usr/local/bin/python bots/doge_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:50:00] 📊 Всего Python-памяти: 1230.21 MB
[2025-05-12 21:50:00] PID 1 | 12.36 MB | python run_strategies.py
[2025-05-12 21:50:00] PID 8 | 11.57 MB | /usr/local/bin/python memory_watcher.py
[2025-05-12 21:50:00] PID 9 | 164.70 MB | /usr/local/bin/python bots/xrp_grid/1 Формирование базы.py
[2025-05-12 21:50:00] PID 10 | 147.98 MB | /usr/local/bin/python bots/xrp_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:50:00] PID 11 | 156.39 MB | /usr/local/bin/python bots/doge_grid/1 Формирование базы.py
[2025-05-12 21:50:00] PID 12 | 136.48 MB | /usr/local/bin/python bots/doge_grid/2 Подготовка данных к тесту.py
[2025-05-12 21:50:00] PID 13 | 144.14 MB | /usr/local/bin/python bots/xrp_grid/3 Запись позиций.py --symbol XRPUSDT
[2025-05-12 21:50:00] PID 14 | 148.11 MB | /usr/local/bin/python bots/xrp_grid/4 Торговля.py --symbol XRPUSDT
[2025-05-12 21:50:00] PID 15 | 144.19 MB | /usr/local/bin/python bots/doge_grid/3 Запись позиций.py --symbol XRPUSDT
